100001.SH,100001.SH,110030.SH
100009.SH,100009.SH,110031.SH
100016.SH,100016.SH,110032.SH
100087.SH,100087.SH,110033.SH
100096.SH,100096.SH,110034.SH
100117.SH,100117.SH,110038.SH
100177.SH,100177.SH,110039.SH
100196.SH,100196.SH,113008.SH
100220.SH,100220.SH,113009.SH
100236.SH,100236.SH,113010.SH
100567.SH,100567.SH,113011.SH
100726.SH,100726.SH,113012.SH
100795.SH,100795.SH,113013.SH
110001.SH,110001.SH,113014.SH
110002.SH,110002.SH,113015.SH
110003.SH,110003.SH,113016.SH
110004.SH,110004.SH,113502.SH
110005.SH,110005.SH,123001.SZ
110006.SH,110006.SH,127003.SZ
110007.SH,110007.SH,127004.SZ
110008.SH,110008.SH,128010.SZ
110009.SH,110009.SH,128012.SZ
110010.SH,110010.SH,128013.SZ
110011.SH,110011.SH,128014.SZ
110012.SH,110012.SH,128015.SZ
110013.SH,110013.SH,128016.SZ
110015.SH,110015.SH,128017.SZ
110016.SH,110016.SH,128018.SZ
110017.SH,110017.SH,128019.SZ
110018.SH,110018.SH,128020.SZ
110019.SH,110019.SH,
110021.SH,110021.SH,
110026.SH,110026.SH,
110036.SH,110036.SH,
110037.SH,110037.SH,
110078.SH,110078.SH,
110219.SH,110219.SH,
110227.SH,110227.SH,
110232.SH,110232.SH,
110317.SH,110317.SH,
110325.SH,110325.SH,
110368.SH,110368.SH,
110398.SH,110398.SH,
110418.SH,110418.SH,
110423.SH,110423.SH,
110488.SH,110488.SH,
110567.SH,110567.SH,
110598.SH,110598.SH,
110874.SH,110874.SH,
110971.SH,110971.SH,
113001.SH,113001.SH,
113002.SH,113002.SH,
125002.SZ,125002.SZ,
125009.SZ,125009.SZ,
125024.SZ,125024.SZ,
125069.SZ,125069.SZ,
125089.SZ,125089.SZ,
125301.SZ,125301.SZ,
125488.SZ,125488.SZ,
125528.SZ,125528.SZ,
125572.SZ,125572.SZ,
125629.SZ,125629.SZ,
125630.SZ,125630.SZ,
125709.SZ,125709.SZ,
125717.SZ,125717.SZ,
125729.SZ,125729.SZ,
125731.SZ,125731.SZ,
125822.SZ,125822.SZ,
125887.SZ,125887.SZ,
125898.SZ,125898.SZ,
125930.SZ,125930.SZ,
125932.SZ,125932.SZ,
125936.SZ,125936.SZ,
125937.SZ,125937.SZ,
125959.SZ,125959.SZ,
125960.SZ,125960.SZ,
125969.SZ,125969.SZ,
126002.SZ,126002.SZ,
126301.SZ,126301.SZ,
126630.SZ,126630.SZ,
126729.SZ,126729.SZ,
128031.SZ,128031.SZ,
128233.SZ,128233.SZ,
129031.SZ,129031.SZ,
110020.SH,110020.SH,
110022.SH,110022.SH,
110023.SH,110023.SH,
110024.SH,110024.SH,
110025.SH,110025.SH,
110027.SH,110027.SH,
110028.SH,110028.SH,
110029.SH,110029.SH,
110035.SH,110035.SH,
113003.SH,113003.SH,
113005.SH,113005.SH,
113006.SH,113006.SH,
113007.SH,113007.SH,
113501.SH,113501.SH,
127001.SZ,127001.SZ,
127002.SZ,127002.SZ,
128001.SZ,128001.SZ,
128002.SZ,128002.SZ,
128003.SZ,128003.SZ,
128004.SZ,128004.SZ,
128005.SZ,128005.SZ,
128006.SZ,128006.SZ,
128007.SZ,128007.SZ,
128008.SZ,128008.SZ,
128009.SZ,128009.SZ,
128011.SZ,128011.SZ,
110030.SH,,
110031.SH,,
110032.SH,,
110033.SH,,
110034.SH,,
110038.SH,,
110039.SH,,
113008.SH,,
113009.SH,,
113010.SH,,
113011.SH,,
113012.SH,,
113013.SH,,
113014.SH,,
113015.SH,,
113016.SH,,
113502.SH,,
123001.SZ,,
127003.SZ,,
127004.SZ,,
128010.SZ,,
128012.SZ,,
128013.SZ,,
128014.SZ,,
128015.SZ,,
128016.SZ,,
128017.SZ,,
128018.SZ,,
128019.SZ,,
128020.SZ,,
