DATETIME,000016.SH,000300.SH,000905.SH,510050.SH,510300.SH,510500.SH,IC00.CFE,IC01.CFE,IC02.CFE,IC03.CFE,IF00.CFE,IF01.CFE,IF02.CFE,IF03.CFE,IH00.CFE,IH01.CFE,IH02.CFE,IH03.CFE
2017-09-18 09:30:00,2675.4509,3838.2968,6621.9487,2.73,3.896,6.965,6593.2,6560.6,6419.2,,3837.2,3823.2,3807.8,,2690.6,2695.6,2698,
2017-09-18 09:31:00,2675.0105,3838.4833,6622.2095,2.727,3.896,6.968,6595.6,6550,6439.8,,3833.8,3823.2,3805,,2687.8,2699.6,2708,
2017-09-18 09:32:00,2677.9263,3841.319,6624.1846,2.729,3.897,6.975,6598.4,6550,6439.8,,3836.2,3824,3807.8,,2690.4,2696,2709.4,
2017-09-18 09:33:00,2680.4403,3845.5822,6627.1215,2.734,3.906,6.974,6599,6570.8,6446,,3839,3824,3808,,2693,2696,2713.6,
2017-09-18 09:34:00,2681.9946,3848.2688,6629.314,2.736,3.911,6.975,6600.4,6570.8,6446,,3844,3835.4,3814.6,,2696,2696,2715.8,
2017-09-18 09:35:00,2682.4918,3848.8273,6631.3127,2.734,3.913,6.976,6604,6558.4,6448.2,,3845.8,3835.4,3815,,2695,2696,2715.8,
2017-09-18 09:36:00,2682.3233,3848.8361,6631.8021,2.736,3.911,6.985,6604,6570,6447.2,,3844.2,3842,3813.2,,2695.4,2696,2715.8,
2017-09-18 09:37:00,2682.062,3848.8335,6630.9575,2.733,3.909,6.979,6603,6570,6447.2,,3844,3836.6,3812.4,,2694.2,2696,2715.2,
2017-09-18 09:38:00,2682.4121,3849.9147,6631.6653,2.735,3.911,6.98,6605.2,6570,6439,,3846.8,3836.6,3816,,2697.4,2696,2714.6,
2017-09-18 09:39:00,2685.0415,3851.6419,6631.2092,2.736,3.912,6.98,6602.4,6570,6447,,3847,3836.6,3816,,2698,2703.6,2716,
2017-09-18 09:40:00,2687.355,3853.1449,6631.2803,2.74,3.914,6.975,6599.2,6567,6442.8,,3848.2,3840,3816,,2701,2703.6,2721.2,
2017-09-18 09:41:00,2687.689,3853.899,6631.7502,2.74,3.916,6.976,6599.4,6566,6445,,3846.6,3836,3817.8,,2698.6,2703.2,2722.6,
2017-09-18 09:42:00,2687.2008,3853.318,6629.616,2.74,3.916,6.975,6598.8,6565,6445,,3846.6,3836.8,3818.2,,2699.6,2703.8,2722.6,
2017-09-18 09:43:00,2686.9184,3852.5108,6628.1425,2.74,3.917,6.973,6598.4,6564,6439.8,,3848.8,3839.8,3816.2,,2700.4,2703.8,2722.6,
2017-09-18 09:44:00,2686.9146,3853.0096,6627.548,2.739,3.918,6.973,6599.8,6568,6439.8,,3849.4,3840,3818.6,,2700.2,2703.8,2722.6,
2017-09-18 09:45:00,2685.7028,3851.2068,6625.0752,2.738,3.915,6.974,6600.4,6568,6440,,3845.8,3838.6,3817,,2697.2,2705,2718,
2017-09-18 09:46:00,2684.6195,3849.4545,6621.4817,2.736,3.915,6.972,6600.2,6568,6440,,3846,3838.6,3814,,2696.6,2705,2718.4,
2017-09-18 09:47:00,2683.5512,3847.7579,6618.6505,2.735,3.913,6.97,6599.8,6568,6441,,3842.4,3836,3810.8,,2695.4,2700.2,2715,
2017-09-18 09:48:00,2682.9858,3847.0094,6619.2324,2.736,3.913,6.971,6600.8,6568,6441,,3845,3837.6,3812.6,,2696.4,2700.2,2712.8,
2017-09-18 09:49:00,2682.1247,3845.9536,6618.6907,2.735,3.912,6.971,6600.4,6568,6441,,3843.2,3835.2,3810.4,,2693.6,2700.2,2712.2,
2017-09-18 09:50:00,2682.7765,3848.2986,6623.4614,2.736,3.914,6.979,6610.4,6571,6448.8,,3848,3835,3814,,2697.4,2700.2,2712.2,
2017-09-18 09:51:00,2683.7414,3849.3151,6625.4793,2.737,3.914,6.977,6605,6571,6450,,3846,3835,3815,,2696.2,2700.2,2713.6,
2017-09-18 09:52:00,2682.9934,3848.6963,6625.3041,2.736,3.912,6.982,6602,6571,6442,,3844,3835,3812.4,,2694,2700.2,2713.6,
2017-09-18 09:53:00,2683.0451,3849.113,6625.6034,2.734,3.911,6.978,6605.4,6574.6,6442,,3845.4,3835,3812.2,,2695.2,2700.2,2714,
2017-09-18 09:54:00,2683.464,3848.9101,6624.6817,2.735,3.913,6.978,6601.8,6574.6,6442.2,,3844.4,3836.4,3811.8,,2694.6,2700.2,2714,
2017-09-18 09:55:00,2683.6787,3849.2468,6625.0719,2.736,3.913,6.979,6609,6574.6,6444,,3845.8,3836.4,3813.4,,2696.4,2700.2,2714,
2017-09-18 09:56:00,2683.6767,3849.8464,6628.6719,2.737,3.914,6.982,6612,6580.4,6447.8,,3848,3836.4,3815,,2696.6,2700.2,2715.6,
2017-09-18 09:57:00,2684.1038,3851.0607,6631.128,2.737,3.916,6.986,6615.6,6580.4,6444,,3850,3836.4,3815,,2696.8,2700.2,2715.6,
2017-09-18 09:58:00,2685.1345,3852.5194,6633.0343,2.738,3.915,6.987,6612.6,6580.4,6444,,3849,3841.6,3820.2,,2697.4,2700.2,2715.6,
2017-09-18 09:59:00,2685.6621,3853.363,6634.5454,2.738,3.916,6.985,6613.4,6580.4,6444,,3848.6,3841.6,3820,,2696.6,2700.2,2715.6,
2017-09-18 10:00:00,2685.3939,3853.2689,6634.492,2.736,3.914,6.986,6616.8,6580.4,6448,,3848.4,3839.6,3818,,2695,2700.2,2716.8,
2017-09-18 10:01:00,2684.5617,3852.9427,6634.6336,2.735,3.913,6.99,6618,6580.4,6448,,3847.2,3839.6,3814.6,,2694.6,2700.2,2714.8,
2017-09-18 10:02:00,2684.0826,3852.5751,6633.6646,2.736,3.914,6.987,6615,6580.4,6446.8,,3848.2,3841.6,3816.6,,2695.4,2700.2,2715.2,
2017-09-18 10:03:00,2684.0026,3852.3992,6633.1154,2.734,3.913,6.985,6614.2,6580.4,6446.8,,3848,3841.2,3815.6,,2694.8,2700.2,2715.2,
2017-09-18 10:04:00,2683.6296,3851.7714,6633.6276,2.735,3.913,6.987,6616.6,6580.4,6446.8,,3848.4,3841.2,3816.8,,2695,2700.2,2712.8,
2017-09-18 10:05:00,2683.071,3851.4243,6634.2363,2.736,3.913,6.985,6617.4,6580.4,6445,,3848.8,3841.2,3819.2,,2695.8,2700.2,2712.8,
2017-09-18 10:06:00,2683.5149,3851.8872,6634.918,2.734,3.912,6.985,6615.4,6580.4,6445,,3847,3840,3816.8,,2694.6,2700.2,2714.2,
2017-09-18 10:07:00,2683.6603,3851.8745,6632.3145,2.735,3.913,6.989,6607.2,6574,6440.2,,3846.4,3840,3816.6,,2695.6,2700.2,2714.2,
2017-09-18 10:08:00,2683.787,3851.636,6633.1875,2.735,3.912,6.986,6611,6574,6440.2,,3846.8,3840,3816.2,,2695.2,2700.2,2714.2,
2017-09-18 10:09:00,2683.8242,3851.3272,6634.0487,2.736,3.912,6.986,6612.8,6574,6440.2,,3847.4,3840,3817.2,,2696,2700.2,2713.4,
2017-09-18 10:10:00,2686.4681,3853.7238,6636.7967,2.739,3.917,6.993,6624.8,6589.8,6446.2,,3854.8,3841,3817.4,,2699.8,2702.2,2713.4,
2017-09-18 10:11:00,2687.5335,3855.2233,6641.6181,2.74,3.918,6.996,6623.6,6589.8,6446.2,,3855.4,3845,3822.4,,2700.8,2702.2,2713.4,
2017-09-18 10:12:00,2688.3011,3855.8239,6643.9787,2.739,3.918,6.998,6622.8,6589.8,6446.2,,3853.8,3842,3818.6,,2700,2702.2,2719.4,
2017-09-18 10:13:00,2687.8941,3856.3996,6645.0157,2.739,3.918,7.005,6624.4,6589.8,6446.2,,3854.2,3842,3820.2,,2699.4,2702.2,2719.4,
2017-09-18 10:14:00,2688.4546,3857.531,6646.802,2.738,3.918,7.008,6627.4,6593.6,6452,,3853.8,3842,3820,,2698.2,2702.2,2719.2,
2017-09-18 10:15:00,2689.0478,3857.773,6649.2153,2.74,3.92,7.009,6639.8,6594.2,6461,,3857.2,3842,3822.8,,2700.8,2702.2,2719.2,
2017-09-18 10:16:00,2690.0463,3858.5884,6650.4736,2.741,3.919,7.008,6636.4,6594.2,6462,,3857.6,3847,3823.8,,2701.8,2702.2,2719.2,
2017-09-18 10:17:00,2689.761,3858.3851,6651.0221,2.74,3.919,7.008,6634,6603.6,6462,,3855.8,3847,3822.8,,2700.4,2702.2,2719.2,
2017-09-18 10:18:00,2690.9714,3859.3786,6651.9874,2.743,3.921,7.012,6641.4,6607.6,6462,,3860.2,3847,3824.2,,2704,2708.8,2722.6,
2017-09-18 10:19:00,2692.3635,3860.2361,6652.7413,2.744,3.923,7.013,6641,6607.6,6466,,3863.2,3856,3827.4,,2706.2,2708.8,2724.4,
2017-09-18 10:20:00,2693.5328,3861.972,6657.2751,2.746,3.929,7.022,6661,6622.8,6466,,3867.6,3856,3831.4,,2708,2708.8,2725.8,
2017-09-18 10:21:00,2692.9834,3861.9515,6660.9254,2.746,3.926,7.021,6658.8,6622.8,6466,,3866.8,3860,3833.2,,2706.4,2708.8,2726,
2017-09-18 10:22:00,2693.0027,3862.0274,6659.6429,2.745,3.926,7.024,6655,6622.8,6466,,3865.8,3859,3832.8,,2706.4,2708.8,2726,
2017-09-18 10:23:00,2691.7588,3860.7084,6657.5808,2.744,3.926,7.021,6653.4,6622.8,6466,,3865.8,3855.6,3830,,2705.4,2708.8,2723.8,
2017-09-18 10:24:00,2691.788,3860.6619,6656.6767,2.744,3.924,7.02,6652.2,6622.8,6466,,3864.2,3855.6,3830.2,,2705.4,2708.8,2723.8,
2017-09-18 10:25:00,2691.0378,3859.4412,6654.1966,2.743,3.923,7.015,6651.4,6622.8,6481.4,,3863.6,3855.6,3830.4,,2704.4,2708.8,2723,
2017-09-18 10:26:00,2689.8457,3858.2984,6653.4687,2.743,3.925,7.017,6650.6,6622.8,6481.4,,3862.4,3855.6,3830.4,,2703.8,2709.6,2724.4,
2017-09-18 10:27:00,2690.5985,3858.7793,6653.1584,2.742,3.925,7.016,6652,6622.8,6481.4,,3864.8,3855.6,3830,,2704.4,2711,2724.4,
2017-09-18 10:28:00,2690.4001,3858.523,6653.6465,2.743,3.925,7.018,6650.2,6622.8,6489.6,,3863,3855.6,3832,,2703.6,2711,2722.2,
2017-09-18 10:29:00,2690.6802,3858.6683,6653.612,2.743,3.924,7.018,6651.8,6618.8,6489.6,,3862.2,3853.6,3832.6,,2702.8,2711,2722.2,
2017-09-18 10:30:00,2691.4898,3860.3469,6658.4746,2.745,3.927,7.025,6660,6625.4,6487.2,,3867.8,3860,3834.6,,2705.6,2711,2722.2,
2017-09-18 10:31:00,2691.7098,3861.0036,6659.0842,2.744,3.925,7.025,6658.4,6622.2,6494.4,,3866.2,3860.2,3835.8,,2704,2711,2722.2,
2017-09-18 10:32:00,2690.8998,3860.0901,6658.3198,2.743,3.926,7.024,6661.6,6622.2,6494.6,,3868.6,3860.2,3836,,2704.8,2711,2722.2,
2017-09-18 10:33:00,2690.971,3859.8436,6659.8391,2.743,3.926,7.028,6665,6627.8,6497,,3871.8,3860.2,3837.2,,2705,2709.8,2724.4,
2017-09-18 10:34:00,2690.3046,3859.4515,6656.8857,2.742,3.924,7.024,6654,6627.8,6487,,3865.4,3860.2,3837.2,,2702.8,2709.8,2724.4,
2017-09-18 10:35:00,2688.5377,3857.299,6652.3546,2.74,3.921,7.024,6650,6627.8,6487,,3861.8,3860.2,3831,,2701.4,2709.8,2724.4,
2017-09-18 10:36:00,2687.6391,3856.4609,6650.7967,2.739,3.918,7.015,6649.6,6627.8,6487,,3860.4,3852.4,3831,,2701,2704.8,2719.2,
2017-09-18 10:37:00,2687.0501,3855.4622,6649.7624,2.741,3.92,7.015,6650,6627.8,6487,,3860.2,3852.4,3830.2,,2700.4,2704.8,2719.2,
2017-09-18 10:38:00,2686.1168,3854.8496,6649.8507,2.741,3.92,7.018,6652.2,6627.8,6481.2,,3862,3853,3830.2,,2700.6,2704.8,2719.2,
2017-09-18 10:39:00,2686.4857,3855.2886,6651.992,2.739,3.92,7.02,6658,6627.8,6482,,3863.6,3853,3832.6,,2701.6,2704.8,2720.4,
2017-09-18 10:40:00,2689.9721,3858.2385,6654.0621,2.744,3.924,7.019,6655,6627.8,6483.2,,3867.4,3853,3833,,2703.6,2704.8,2723,
2017-09-18 10:41:00,2688.3075,3857.0927,6651.9591,2.74,3.922,7.019,6650,6627.8,6480,,3864,3853,3833,,2701.4,2704.8,2723,
2017-09-18 10:42:00,2687.163,3855.4165,6650.4493,2.741,3.922,7.014,6647.2,6613.2,6480,,3863,3853,3833,,2700.4,2704.8,2723,
2017-09-18 10:43:00,2686.3698,3855.0698,6649.11,2.739,3.92,7.012,6646,6613.2,6475.2,,3862.8,3853,3833,,2700.2,2704.8,2723,
2017-09-18 10:44:00,2686.0914,3854.6773,6648.4934,2.74,3.92,7.014,6647.6,6611.4,6475.4,,3864,3853,3830.8,,2700.2,2704.8,2720.2,
2017-09-18 10:45:00,2685.9979,3854.2011,6646.6402,2.739,3.92,7.014,6646.8,6611.4,6475.6,,3863.4,3853,3830.8,,2700.6,2704.8,2720.2,
2017-09-18 10:46:00,2686.2583,3854.1271,6646.5286,2.74,3.919,7.012,6646.6,6611.4,6475.6,,3861.8,3853,3830.8,,2700,2704.8,2720.2,
2017-09-18 10:47:00,2685.7723,3853.518,6645.0299,2.739,3.919,7.01,6641.6,6608.2,6474,,3860,3853,3830,,2698.8,2704.8,2720,
2017-09-18 10:48:00,2684.9171,3852.725,6645.8796,2.739,3.918,7.012,6644.8,6608.8,6472.8,,3860,3852.6,3831,,2698.2,2704.8,2718.2,
2017-09-18 10:49:00,2685.0516,3852.6957,6648.7468,2.738,3.919,7.013,6653.2,6608.8,6479,,3862,3852.6,3833,,2698.4,2704.8,2718.2,
2017-09-18 10:50:00,2686.327,3853.7961,6648.1667,2.738,3.919,7.014,6649.6,6608.8,6479,,3862,3852.6,3833,,2699,2704.8,2718.4,
2017-09-18 10:51:00,2685.8998,3852.903,6647.6685,2.737,3.919,7.012,6646.2,6608.8,6477,,3861.2,3852.6,3833,,2698.2,2704.6,2718.4,
2017-09-18 10:52:00,2685.703,3852.7678,6647.1641,2.737,3.918,7.009,6647,6608.8,6482.4,,3860.4,3852.8,3833,,2698,2704.6,2718.4,
2017-09-18 10:53:00,2684.6956,3851.9847,6646.4907,2.738,3.918,7.01,6645.2,6608.8,6482.4,,3859,3852.8,3832,,2697.4,2704.6,2718.4,
2017-09-18 10:54:00,2684.9234,3852.2204,6645.6639,2.737,3.917,7.004,6647.6,6609.2,6482.4,,3861.2,3853.2,3830.4,,2698.6,2704.6,2718.4,
2017-09-18 10:55:00,2684.3916,3851.6296,6646.8737,2.737,3.918,7.01,6650.6,6609.2,6482.4,,3859.8,3853.6,3830.2,,2697.6,2704.6,2717,
2017-09-18 10:56:00,2682.6484,3850.2266,6645.6665,2.735,3.915,7.008,6646.8,6613.8,6482.4,,3856.8,3851.2,3830.2,,2694.8,2704.6,2715.8,
2017-09-18 10:57:00,2681.5067,3849.1362,6643.2093,2.733,3.913,7.003,6637.8,6609,6476.4,,3855.8,3851.2,3830.2,,2693,2704.6,2713.8,
2017-09-18 10:58:00,2680.9934,3848.1408,6641.9151,2.733,3.913,7.001,6632.6,6594.4,6476.4,,3855.6,3848,3825.6,,2694,2704.6,2713.8,
2017-09-18 10:59:00,2680.911,3847.6981,6640.6181,2.734,3.912,7.001,6636,6594.4,6476.4,,3854.6,3846.8,3823.4,,2693.8,2704.6,2713.8,
2017-09-18 11:00:00,2681.2284,3847.5318,6640.52,2.734,3.914,7.001,6638,6601,6476.4,,3856,3848.8,3823.4,,2694.2,2698.8,2713.8,
2017-09-18 11:01:00,2681.5651,3848.0072,6641.2974,2.735,3.914,7.003,6639.6,6601,6476.4,,3856.8,3848.8,3828.2,,2694.6,2698.8,2712.2,
2017-09-18 11:02:00,2681.1681,3847.7156,6642.3267,2.735,3.914,7.003,6640,6601,6465,,3856.4,3848.8,3828.2,,2694.6,2698.8,2712.2,
2017-09-18 11:03:00,2682.004,3848.9413,6644.3972,2.736,3.915,7.004,6645,6601,6465,,3858,3848.8,3829.4,,2694.8,2698.8,2712.2,
2017-09-18 11:04:00,2682.4279,3849.469,6645.7359,2.736,3.915,7.005,6643.4,6601,6465,,3857.6,3851.2,3829.4,,2694.6,2698.8,2712.2,
2017-09-18 11:05:00,2681.5502,3849.0778,6646.4372,2.735,3.914,7.005,6644.8,6601,6465,,3857.8,3851.2,3829.4,,2694.6,2698.8,2712.2,
2017-09-18 11:06:00,2682.0036,3849.4619,6648.3697,2.735,3.915,7.008,6648,6616.2,6465,,3860.4,3851.2,3830,,2694.6,2698.8,2712.2,
2017-09-18 11:07:00,2681.4739,3849.0775,6649.1953,2.735,3.915,7.008,6649.8,6616.2,6465,,3858.6,3852,3829,,2694.2,2698.8,2712.2,
2017-09-18 11:08:00,2681.5349,3848.9268,6648.6515,2.735,3.915,7.008,6648,6616.2,6465,,3857.8,3850.8,3830.2,,2693.6,2698.8,2712.2,
2017-09-18 11:09:00,2681.6661,3849.2844,6648.5123,2.734,3.914,7.008,6647.8,6616.2,6465,,3858.6,3850.8,3830.2,,2694.4,2698.8,2712.2,
2017-09-18 11:10:00,2680.9872,3848.5561,6646.8866,2.734,3.913,7.01,6644.6,6608.8,6476,,3856.6,3851,3829.6,,2692.6,2698.8,2713.4,
2017-09-18 11:11:00,2681.877,3849.4229,6647.4369,2.734,3.915,7.01,6651.6,6608.8,6476,,3859.4,3851,3829.6,,2694.4,2698.8,2713.4,
2017-09-18 11:12:00,2681.6853,3849.4579,6647.9106,2.735,3.915,7.009,6644.4,6608.8,6481.6,,3858.8,3851,3832,,2694.8,2698.8,2713.4,
2017-09-18 11:13:00,2681.309,3849.2866,6648.2645,2.735,3.915,7.009,6644,6608.8,6475.6,,3858,3851,3832,,2693.4,2698.8,2713.4,
